Benchmark                 RetTimeMemOff    RetTimeMemOn    RetTimeRegOff    RetTimeRegOn      RetSize  AreaTimeMemOff    AreaTimeMemOn    AreaTimeRegOff    AreaTimeRegOn      AreaSize  CompressTimeMemOff    CompressTimeMemOn    CompressTimeRegOff    CompressTimeRegOn      CompressSize
CTR_DRBG_(NOPR)           +0.066%          +0.154%         +0.032%          +0.130%              4052  +0.072%           +0.166%          +0.044%           +0.138%                4072  +0.129%               +0.214%              +0.062%               +0.163%                        1144
recursion                 +5.839%          +13.392%        +3.150%          +11.508%              524  +6.311%           +14.496%         +3.936%           +12.136%                536  +11.198%              +19.084%             +5.681%               +14.186%                        132
frac                      +0.006%          +0.015%         +0.003%          +0.012%               372  +0.007%           +0.016%          +0.004%           +0.013%                 384  +0.013%               +0.021%              +0.005%               +0.015%                          96
MD5                       +0.011%          +0.024%         +0.005%          +0.021%              4052  +0.012%           +0.027%          +0.007%           +0.022%                4072  +0.021%               +0.037%              +0.010%               +0.024%                        1144
expint                    +0.005%          +0.011%         +0.002%          +0.008%               268  +0.005%           +0.012%          +0.001%           +0.009%                 280  +0.009%               +0.016%              +0.003%               +0.010%                          76
15                        +59.160%         +135.945%       +31.964%         +116.749%             504  +63.991%          +147.169%        +39.961%          +123.168%               644  +113.563%             +193.543%            +57.556%              +143.968%                       164
sglib-arraybinsearch      +0.002%          +0.005%         +0.000%          +0.004%               244  +0.002%           +0.006%          +0.001%           +0.004%                 256  +0.004%               +0.007%              +0.001%               +0.005%                          64
AES-CMAC-192              +1.967%          +4.575%         +0.999%          +3.922%              4052  +2.172%           +5.001%          +1.315%           +4.135%                4072  +3.814%               +6.537%              +1.867%               +4.890%                        1144
14                        +57.763%         +132.833%       +31.225%         +114.022%             440  +62.492%          +143.727%        +39.031%          +120.316%               580  +110.934%             +189.027%            +56.198%              +140.603%                       164
newlib-exp                +0.006%          +0.009%         +0.003%          +0.008%               276  +0.006%           +0.012%          +0.003%           +0.011%                 304  +0.009%               +0.014%              +0.004%               +0.012%                          72
crc32                     +0.007%          +0.014%         +0.001%          +0.012%               292  +0.007%           +0.010%          +0.004%           +0.013%                 304  +0.014%               +0.021%              +0.003%               +0.014%                          76
nettle-aes                +0.007%          +0.016%         +0.003%          +0.013%               332  +0.008%           +0.018%          +0.004%           +0.014%                 344  +0.014%               +0.023%              +0.006%               +0.016%                          92
nettle-arcfour            +0.005%          +0.011%         +0.002%          +0.008%               260  +0.005%           +0.012%          +0.002%           +0.009%                 272  +0.009%               +0.015%              +0.004%               +0.011%                          68
sglib-dllist              +0.004%          +0.010%         +0.001%          +0.008%               316  +0.004%           +0.011%          +0.002%           +0.008%                 328  +0.008%               +0.014%              +0.003%               +0.010%                          92
trio-snprintf             +6.114%          +14.035%        +3.304%          +12.064%             4364  +6.613%           +15.208%         +4.131%           +12.724%               4376  +11.739%              +19.996%             +5.946%               +14.869%                       1088
strstr                    +0.003%          +0.009%         +0.002%          +0.008%               260  +0.005%           +0.011%          +0.002%           +0.009%                 272  +0.008%               +0.014%              +0.003%               +0.010%                          68
AES-CBC-192               +0.011%          +0.024%         +0.005%          +0.020%              4052  +0.012%           +0.027%          +0.006%           +0.021%                4072  +0.020%               +0.035%              +0.009%               +0.025%                        1144
HMAC_DRBG_SHA-256_(NOPR)  +2.335%          +5.388%         +1.255%          +4.622%              4068  +82064.371%       +5.847%          +41032.488%       +30778.061%            4072  +4.497%               +7.673%              +2.270%               +5.723%                        1144
7                         +0.019%          +0.057%         +0.000%          +0.019%               376  +0.000%           +0.095%          +0.038%           +0.076%                 228  +0.038%               +0.076%              -0.019%               +0.000%                         108
